Nazwa_Obrazu,ID_Komorki,Pole_Powierzchni_px,Srodek_X,Srodek_Y,Kolowatosc_0_1,Srednica_Ekwiwalentna_px
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,54,408,238.25,8.16,0.8101,22.79
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,55,469,46.18,509.34,0.8462,24.44
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,56,424,583.69,313.41,0.8937,23.23
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,57,770,683.16,151.74,0.7315,31.31
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,58,785,175.59,435.87,0.8766,31.61
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,59,1485,122.04,34.52,0.5407,43.48
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,60,673,630.44,444.41,0.9254,29.27
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,61,786,11.52,173.72,0.6044,31.63
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,62,970,374.15,396.54,0.867,35.14
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,63,830,336.82,96.02,0.839,32.51
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,64,622,379.06,96.16,0.8969,28.14
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,65,228,6.15,248.42,0.8239,17.04
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,66,602,19.42,496.99,0.9301,27.69
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,67,262,5.08,466.38,0.78,18.26
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,68,486,194.48,123.68,0.9475,24.88
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,69,1491,332.67,50.78,0.5527,43.57
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,70,138,691.33,23.55,0.8145,13.26
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,71,537,9.71,404.18,0.8638,26.15
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,72,107,2.21,220.08,0.6069,11.67
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,73,1688,374.72,23.29,0.3732,46.36
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,74,85,325.0,2.81,0.9429,10.4
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,75,957,10.12,417.19,1.0,34.91
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,76,423,10.96,431.66,0.8347,23.21
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,77,53,427.94,1.81,0.8707,8.21
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,1,1242,127.83,355.41,0.4803,39.77
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,2,866,174.59,14.39,0.6374,33.21
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,3,961,296.84,42.45,0.8977,34.98
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,4,1059,250.04,39.68,0.7307,36.72
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,5,905,143.92,310.75,0.7868,33.95
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,6,1388,461.63,298.06,0.8262,42.04
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,7,896,116.06,36.14,0.8252,33.78
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,8,537,285.98,511.08,0.7783,26.15
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,9,1073,646.42,499.77,0.6129,36.96
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,10,448,9.54,246.96,0.8787,23.88
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,11,798,51.36,132.95,0.8757,31.88
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,12,738,296.69,108.87,0.8504,30.65
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,13,1259,228.97,164.57,0.4806,40.04
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,14,516,148.07,203.33,0.6193,25.63
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,15,583,514.89,202.06,0.5746,27.25
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,16,542,513.17,159.26,0.5681,26.27
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,17,655,191.82,286.07,0.9006,28.88
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,18,503,137.73,236.27,0.8746,25.31
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,19,1526,662.59,433.67,0.5311,44.08
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,20,587,253.5,446.25,0.7146,27.34
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,21,1085,598.3,359.62,0.9163,37.17
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,22,894,478.97,143.93,0.8407,33.74
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,23,1448,671.98,301.07,0.8706,42.94
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,24,864,428.27,43.57,0.8243,33.17
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,25,745,319.67,373.48,0.7678,30.8
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,26,565,323.17,407.27,0.8797,26.82
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,27,615,33.39,15.98,0.8517,27.98
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,28,635,376.17,200.35,0.7183,28.43
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,29,616,13.32,106.59,0.8184,28.01
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,30,1084,626.25,382.0,0.8876,37.15
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,31,758,200.74,385.37,0.8735,31.07
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,32,702,35.95,180.49,0.944,29.9
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,33,939,535.78,152.05,0.8684,34.58
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,34,619,191.67,192.1,0.8972,28.07
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,35,1041,298.46,317.34,0.9109,36.41
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,36,1148,173.14,86.94,0.9246,38.23
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,37,1404,228.94,251.26,0.7828,42.28
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,38,614,24.25,311.05,0.5808,27.96
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,39,1772,395.06,379.09,0.712,47.5
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,40,674,662.73,82.3,0.7512,29.29
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,41,836,438.01,158.62,0.8072,32.63
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,42,710,376.52,302.84,0.8504,30.07
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,43,652,548.1,86.26,0.952,28.81
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,44,749,347.45,352.89,0.8929,30.88
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,45,2396,442.51,430.09,0.3377,55.23
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,46,627,322.77,138.09,0.8928,28.25
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,47,448,439.16,104.29,0.8863,23.88
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,48,800,158.28,436.78,0.7899,31.92
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,49,951,436.95,255.03,0.9105,34.8
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,50,1515,336.63,62.06,0.603,43.92
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,51,554,318.05,188.6,0.932,26.56
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,52,856,486.47,50.59,0.8972,33.01
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,53,643,100.04,176.3,0.9062,28.61
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,54,546,660.7,384.24,0.8547,26.37
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,55,714,31.1,428.2,0.9768,30.15
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,56,1280,626.65,218.12,0.8806,40.37
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,57,550,60.07,282.16,0.8888,26.46
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,58,801,267.28,371.32,0.9044,31.94
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,59,718,254.69,92.05,0.936,30.24
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,60,657,94.57,69.83,0.8226,28.92
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,61,542,275.5,486.91,0.8827,26.27
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,62,547,408.32,129.49,0.8771,26.39
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,63,520,108.53,487.93,0.8948,25.73
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,64,553,589.18,79.22,0.7005,26.53
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,65,750,220.99,430.23,0.9131,30.9
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,66,610,270.05,204.01,0.8841,27.87
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,67,583,566.9,210.85,0.9421,27.25
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,68,590,58.15,486.73,0.946,27.41
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,69,332,585.24,513.78,0.7491,20.56
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,70,1723,586.54,257.09,0.4231,46.84
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,71,473,355.32,136.58,0.9143,24.54
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,72,930,457.79,224.4,0.9263,34.41
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,73,533,246.75,139.44,0.8946,26.05
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,74,221,4.12,314.63,0.6629,16.77
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,75,687,21.58,64.2,0.6987,29.58
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,76,187,691.41,466.08,0.7094,15.43
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,77,950,337.7,21.02,0.8597,34.78
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,78,1521,515.45,351.05,0.9233,44.01
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,79,635,440.98,9.83,0.7934,28.43
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,80,316,4.46,493.28,0.6602,20.06
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,81,289,5.05,146.92,0.6775,19.18
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,82,546,293.63,450.46,0.9113,26.37
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,83,354,563.45,112.3,0.8514,21.23
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,84,523,385.41,68.57,0.9327,25.81
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,85,583,516.94,245.95,0.9473,27.25
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,86,478,551.84,7.97,0.6115,24.67
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,87,527,88.09,329.68,0.9269,25.9
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,88,683,638.52,68.58,0.9055,29.49
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,89,485,594.41,477.94,0.9537,24.85
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,90,565,507.26,444.98,0.7713,26.82
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,91,833,68.67,91.9,0.8347,32.57
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,92,1817,656.86,137.11,0.4823,48.1
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,93,659,98.67,105.03,0.8843,28.97
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,94,513,563.96,145.05,0.8728,25.56
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,95,533,207.34,471.59,0.8546,26.05
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,96,463,552.1,242.36,0.8644,24.28
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,97,2148,555.5,452.18,0.4386,52.3
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,98,1291,278.28,156.01,0.6904,40.54
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,99,164,690.51,347.8,0.7933,14.45
IXMtest_N12_s7_w166EF3FAB-EA33-4B28-91E3-034A1654BAAE.tif,100,510,594.73,315.39,0.8445,25.48
IXMtest_N12_s9_w1C98EC3CC-2F8E-4761-A21A-EBF14469AD40.tif,1,704,14.8,18.13,0.7897,29.94
IXMtest_N12_s9_w1C98EC3CC-2F8E-4761-A21A-EBF14469AD40.tif,2,616,23.79,390.03,0.7052,28.01
IXMtest_N12_s9_w1C98EC3CC-2F8E-4761-A21A-EBF14469AD40.tif,3,524,254.47,21.61,0.801,25.83
IXMtest_N12_s9_w1C98EC3CC-2F8E-4761-A21A-EBF14469AD40.tif,4,616,244.5,235.52,0.8184,28.01
IXMtest_N12_s9_w1C98EC3CC-2F8E-4761-A21A-EBF14469AD40.tif,5,382,7.77,153.12,0.8103,22.05
IXMtest_N12_s9_w1C98EC3CC-2F8E-4761-A21A-EBF14469AD40.tif,6,711,81.8,120.97,0.7485,30.09
IXMtest_N12_s9_w1C98EC3CC-2F8E-4761-A21A-EBF14469AD40.tif,7,813,551.14,123.52,0.8979,32.17
IXMtest_N12_s9_w1C98EC3CC-2F8E-4761-A21A-EBF14469AD40.tif,8,1507,620.2,336.15,0.615,43.8
IXMtest_N12_s9_w1C98EC3CC-2F8E-4761-A21A-EBF14469AD40.tif,9,516,289.21,11.44,0.8525,25.63
IXMtest_N12_s9_w1C98EC3CC-2F8E-4761-A21A-EBF14469AD40.tif,10,1197,571.13,33.84,0.573,39.04
IXMtest_N12_s9_w1C98EC3CC-2F8E-4761-A21A-EBF14469AD40.tif,11,733,282.11,185.14,0.7428,30.55
IXMtest_N12_s9_w1C98EC3CC-2F8E-4761-A21A-EBF14469AD40.tif,12,1480,454.91,38.15,0.6775,43.41
IXMtest_N12_s9_w1C98EC3CC-2F8E-4761-A21A-EBF14469AD40.tif,13,744,161.92,197.17,0.8217,30.78
IXMtest_N12_s9_w1C98EC3CC-2F8E-4761-A21A-EBF14469AD40.tif,14,1507,612.32,464.31,0.5258,43.8
IXMtest_N12_s9_w1C98EC3CC-2F8E-4761-A21A-EBF14469AD40.tif,15,680,335.7,467.76,0.82,29.42
IXMtest_N12_s9_w1C98EC3CC-2F8E-4761-A21A-EBF14469AD40.tif,16,633,685.78,287.49,0.7363,28.39
IXMtest_N12_s9_w1C98EC3CC-2F8E-4761-A21A-EBF14469AD40.tif,17,829,124.12,203.21,0.9257,32.49
IXMtest_N12_s9_w1C98EC3CC-2F8E-4761-A21A-EBF14469AD40.tif,18,877,380.65,58.92,0.8998,33.42
IXMtest_N12_s9_w1C98EC3CC-2F8E-4761-A21A-EBF14469AD40.tif,19,692,198.74,122.93,0.9021,29.68
IXMtest_N12_s9_w1C98EC3CC-2F8E-4761-A21A-EBF14469AD40.tif,20,660,39.01,198.69,0.8857,28.99
IXMtest_N12_s9_w1C98EC3CC-2F8E-4761-A21A-EBF14469AD40.tif,21,909,379.72,256.98,0.8906,34.02
IXMtest_N12_s9_w1C98EC3CC-2F8E-4761-A21A-EBF14469AD40.tif,22,1291,139.07,410.27,0.6217,40.54
IXMtest_N12_s9_w1C98EC3CC-2F8E-4761-A21A-EBF14469AD40.tif,23,868,618.8,394.12,0.7882,33.24
IXMtest_N12_s9_w1C98EC3CC-2F8E-4761-A21A-EBF14469AD40.tif,24,1063,26.42,462.42,0.8561,36.79
IXMtest_N12_s9_w1C98EC3CC-2F8E-4761-A21A-EBF14469AD40.tif,25,877,471.63,284.91,0.9094,33.42
IXMtest_N12_s9_w1C98EC3CC-2F8E-4761-A21A-EBF14469AD40.tif,26,784,86.7,316.98,0.813,31.59
IXMtest_N12_s9_w1C98EC3CC-2F8E-4761-A21A-EBF14469AD40.tif,27,711,609.26,24.76,0.8859,30.09
IXMtest_N12_s9_w1C98EC3CC-2F8E-4761-A21A-EBF14469AD40.tif,28,637,253.97,177.67,0.763,28.48
IXMtest_N12_s9_w1C98EC3CC-2F8E-4761-A21A-EBF14469AD40.tif,29,642,590.82,128.8,0.8572,28.59
